Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Reper_amplasare,Indicativ,xcoord,ycoord,zcoord
"Baza sportiva ""La Terenuri""","Reper amplasare: Zona Nord, intrare in baza sportiva<br>Indicativ: 40",,,,,-1,0,-1,,,"Zona Nord, intrare in baza sportiva","40",23.555411,46.750696,0
"Baza sportiva ""La Terenuri""",Reper amplasare: Latura Vestica a bazei sportive<br>Indicativ: 41,,,,,-1,0,-1,,,Latura Vestica a bazei sportive,"41",23.554629,46.750166,0
"Baza sportiva ""La Terenuri""",Reper amplasare: Latura estica<br>Indicativ: 42,,,,,-1,0,-1,,,Latura estica,"42",23.555552,46.749575,0
"Baza sportiva ""La Terenuri""",Reper amplasare: Langa restaurant si terenul de fotbal<br>Indicativ: 43,,,,,-1,0,-1,,,Langa restaurant si terenul de fotbal,"43",23.554169,46.749336,0
"Baza sportiva ""La Terenuri""",Reper amplasare: Intre terenurile de baschet si tenis<br>Indicativ: 44,,,,,-1,0,-1,,,Intre terenurile de baschet si tenis,"44",23.554734,46.749121,0
Cimitir Manastur,Reper amplasare: In spatele Capelei<br>Indicativ: 54,,,,,-1,0,-1,,,In spatele Capelei,"54",23.568662,46.756463,0
Cimitirul Crisan,"Reper amplasare: Intrarea din str. Mecanicilor, pe dreapta<br>Indicativ: 55",,,,,-1,0,-1,,,"Intrarea din str. Mecanicilor, pe dreapta","55",23.583766,46.780778,0
"Parcul Feroviarilor
",Reper amplasare: La intrarea sudică<br><br>Indicativ: 72,,,,,-1,0,-1,,,"La intrarea sudică
","72",23.5954233,46.7820713,0
"Parcul Feroviarilor
",Reper amplasare: La intrarea estică<br><br>Indicativ: 73,,,,,-1,0,-1,,,"La intrarea estică
","73",23.5964806,46.7842642,0
"Parcul ”Pădurea Clujenilor”
",Reper amplasare: Pe latura nordică a aleei principale<br><br>Indicativ: 74,,,,,-1,0,-1,,,"Pe latura nordică a aleei principale
","74",23.6488381,46.7994796,0
"Parcul ”Pădurea Clujenilor”
",Reper amplasare: Pe latura nordică a aleei principale<br><br>Indicativ: 75,,,,,-1,0,-1,,,"Pe latura nordică a aleei principale
","75",23.650209,46.7999689,0
"Parcul ”Pădurea Clujenilor”
",Reper amplasare: Pe latura nordică a aleei principale<br><br>Indicativ: 76,,,,,-1,0,-1,,,"Pe latura nordică a aleei principale
","76",23.6569489,46.799294,0
"Parcul ”Pădurea Clujenilor”
","Reper amplasare: La intrarea dinspre Blv. Muncii, pe latura nordică, pe deal, in apropiere de clădire<br><br>Indicativ: 77",,,,,-1,0,-1,,,"La intrarea dinspre Blv. Muncii, pe latura nordică, pe deal, in apropiere de clădire
","77",23.6584901,46.7985877,0
"Parcul Observator
",Reper amplasare: Intrarea dinspre vest a parcului<br>Indicativ: 102,,,,,-1,0,-1,,,Intrarea dinspre vest a parcului,"102",23.5822824,46.7534139,0
"Parcul Observator
",Reper amplasare: Intrarea dinspre est a parcului<br>Indicativ: 103,,,,,-1,0,-1,,,Intrarea dinspre est a parcului,"103",23.5835538,46.753763,0
Punct 97,Reper amplasare: <br>Indicativ: ,,,,,-1,0,-1,,,,,23.5938479,46.7710764,0
Punct 98,Reper amplasare: <br>Indicativ: ,,,,,-1,0,-1,,,,,23.5920427,46.7702312,0
